developer_id,developer
438,Expansive Worlds
439,Sekerin Productions
440,Cranky Pants Games
441,Full Fat
442,SCE Japan Studio
443,Pyro Studios
444,Omega Force / Koei Canada
445,Madmind Studio
446,Eighting
447,Nanooborg
448,FeelPlus
449,Pivotal Games
450,TDK Mediactive
451,Codemasters
452,Phoenix Games Studio
453,Destineer
454,BottleRocket Entertainment
455,Behaviour Studios
456,Minor Key Games
457,Tecmo Koei Canada
458,DECK13 Interactive
459,Dark Energy Digital
460,D3 Publisher
461,"Sound Source Interactive, Inc."
462,2K Games
463,GameMill
464,QUICKTEQUILA
465,oblomysh
466,Harebrained Schemes
467,Ironsun Studios
468,FUN Labs
469,Nippon Columbia
470,Project Soul
471,BottleRocket
472,8ing/Raizing
473,Lost Toys
474,CharlieH
475,Thomas Happ Games
476,Adeline Software
477,Galaxy Trail
478,Q Entertainment / Phantagram / FeelPlus
479,Zen Studios
480,Playlogic Game Factory
481,Kylotonn Entertainment
482,MAGES. Inc.
